block_group_id,census_value,state_county_tract_id,total_tract_population,population_ratio
360010140013,1579.0,36-001-014001,3550.0,44.48
360010140014,868.0,36-001-014001,3550.0,24.45
360010140021,1040.0,36-001-014002,5570.0,18.67
360010140022,2140.0,36-001-014002,5570.0,38.42
360010140023,1102.0,36-001-014002,5570.0,19.78
360010140024,1288.0,36-001-014002,5570.0,23.12
360010141001,1602.0,36-001-014100,5402.0,29.66
360010141002,1268.0,36-001-014100,5402.0,23.47
360010141003,1661.0,36-001-014100,5402.0,30.75
360010141004,871.0,36-001-014100,5402.0,16.12
360010142011,1534.0,36-001-014201,5735.0,26.75
360010142012,975.0,36-001-014201,5735.0,17.0
360010142013,2598.0,36-001-014201,5735.0,45.3
360010142014,628.0,36-001-014201,5735.0,10.95
360010142021,1519.0,36-001-014202,6079.0,24.99
360010142022,994.0,36-001-014202,6079.0,16.35
360010142023,2479.0,36-001-014202,6079.0,40.78
360010142024,1087.0,36-001-014202,6079.0,17.88
360010142031,2078.0,36-001-014203,6331.0,32.82
360010142032,1491.0,36-001-014203,6331.0,23.55
360010142033,664.0,36-001-014203,6331.0,10.49
360010142034,744.0,36-001-014203,6331.0,11.75
360010142035,1354.0,36-001-014203,6331.0,21.39
360010143011,704.0,36-001-014301,3221.0,21.86
360010143012,2517.0,36-001-014301,3221.0,78.14
360010143031,1392.0,36-001-014303,5058.0,27.52
360010143032,1854.0,36-001-014303,5058.0,36.65
360010143033,1812.0,36-001-014303,5058.0,35.82
360010143041,408.0,36-001-014304,3155.0,12.93
360010143042,2747.0,36-001-014304,3155.0,87.07
360010144011,984.0,36-001-014401,4007.0,24.56
360010144012,2132.0,36-001-014401,4007.0,53.21
360010144013,891.0,36-001-014401,4007.0,22.24
360010144021,1485.0,36-001-014402,3273.0,45.37
360010144022,1788.0,36-001-014402,3273.0,54.63
360010145011,1910.0,36-001-014501,2746.0,69.56
360010145012,836.0,36-001-014501,2746.0,30.44
360010145021,958.0,36-001-014502,3481.0,27.52
360010145022,1822.0,36-001-014502,3481.0,52.34
360010145023,701.0,36-001-014502,3481.0,20.14
360010145031,1393.0,36-001-014503,2837.0,49.1
360010145032,1444.0,36-001-014503,2837.0,50.9
360010146061,872.0,36-001-014606,3738.0,23.33
360010146062,779.0,36-001-014606,3738.0,20.84
360010146063,2087.0,36-001-014606,3738.0,55.83
360010146081,2202.0,36-001-014608,4241.0,51.92
360010146082,2039.0,36-001-014608,4241.0,48.08
360010146091,1256.0,36-001-014609,4751.0,26.44
360010146092,1674.0,36-001-014609,4751.0,35.23
360010146093,1821.0,36-001-014609,4751.0,38.33
360010146111,745.0,36-001-014611,2411.0,30.9
360010146112,1666.0,36-001-014611,2411.0,69.1
360010146121,1704.0,36-001-014612,1704.0,100.0
360010146131,1255.0,36-001-014613,3102.0,40.46
360010146132,1358.0,36-001-014613,3102.0,43.78
360010146133,489.0,36-001-014613,3102.0,15.76
360010146141,1232.0,36-001-014614,5642.0,21.84
360010146142,945.0,36-001-014614,5642.0,16.75
360010146143,1656.0,36-001-014614,5642.0,29.35
360010146144,1809.0,36-001-014614,5642.0,32.06
360010146151,1711.0,36-001-014615,2997.0,57.09
360010146152,1286.0,36-001-014615,2997.0,42.91
360010146161,2165.0,36-001-014616,6029.0,35.91
360010146162,1255.0,36-001-014616,6029.0,20.82
360010146163,2609.0,36-001-014616,6029.0,43.27
360010146171,1325.0,36-001-014617,2247.0,58.97
360010146172,922.0,36-001-014617,2247.0,41.03
360010147001,1053.0,36-001-014700,2737.0,38.47
360010147002,1684.0,36-001-014700,2737.0,61.53
360010148011,507.0,36-001-014801,2711.0,18.7
360010148012,1089.0,36-001-014801,2711.0,40.17
360010148013,1115.0,36-001-014801,2711.0,41.13
360010148021,902.0,36-001-014802,1748.0,51.6
360010148022,846.0,36-001-014802,1748.0,48.4
360010148031,1542.0,36-001-014803,3213.0,47.99
360010148032,1671.0,36-001-014803,3213.0,52.01
360039402001,2.0,36-003-940200,2.0,100.0
360039501001,965.0,36-003-950100,2358.0,40.92
360039501002,504.0,36-003-950100,2358.0,21.37
360039501003,889.0,36-003-950100,2358.0,37.7
360039503001,1422.0,36-003-950300,5106.0,27.85
360039503002,1524.0,36-003-950300,5106.0,29.85
360039503003,2160.0,36-003-950300,5106.0,42.3
360039504011,1050.0,36-003-950401,1572.0,66.79
360039504012,522.0,36-003-950401,1572.0,33.21
360039504021,540.0,36-003-950402,2132.0,25.33
360039504022,839.0,36-003-950402,2132.0,39.35
360039504023,753.0,36-003-950402,2132.0,35.32
360039505001,1525.0,36-003-950500,3863.0,39.48
360039505002,804.0,36-003-950500,3863.0,20.81
360039505003,950.0,36-003-950500,3863.0,24.59
360039505004,584.0,36-003-950500,3863.0,15.12
360039506001,633.0,36-003-950600,3438.0,18.41
360039506002,868.0,36-003-950600,3438.0,25.25
360039506003,839.0,36-003-950600,3438.0,24.4
360039506004,1098.0,36-003-950600,3438.0,31.94
360039507001,1275.0,36-003-950700,3612.0,35.3
360039507002,1579.0,36-003-950700,3612.0,43.72
360039507003,758.0,36-003-950700,3612.0,20.99
360039508001,936.0,36-003-950800,6413.0,14.6
360039508002,3276.0,36-003-950800,6413.0,51.08
360039508003,2201.0,36-003-950800,6413.0,34.32
360039509001,1073.0,36-003-950900,3856.0,27.83
360039509002,1001.0,36-003-950900,3856.0,25.96
360039509003,1291.0,36-003-950900,3856.0,33.48
360039509004,491.0,36-003-950900,3856.0,12.73
360039510001,1140.0,36-003-951000,3079.0,37.03
360039510002,1051.0,36-003-951000,3079.0,34.13
360039510003,888.0,36-003-951000,3079.0,28.84
360039511001,657.0,36-003-951100,3708.0,17.72
360039511002,545.0,36-003-951100,3708.0,14.7
360039511003,1689.0,36-003-951100,3708.0,45.55
360039511004,817.0,36-003-951100,3708.0,22.03
360039512011,988.0,36-003-951201,2174.0,45.45
360039512012,698.0,36-003-951201,2174.0,32.11
360039512013,488.0,36-003-951201,2174.0,22.45
360039512021,529.0,36-003-951202,2178.0,24.29
360039512022,795.0,36-003-951202,2178.0,36.5
360039512023,854.0,36-003-951202,2178.0,39.21
360039513011,589.0,36-003-951301,1140.0,51.67
360039513012,551.0,36-003-951301,1140.0,48.33
360039513021,556.0,36-003-951302,2023.0,27.48
360039513022,817.0,36-003-951302,2023.0,40.39
360039513023,650.0,36-003-951302,2023.0,32.13
360050001000,0.0,36-005-000100,6661.0,0.0
360050001001,6661.0,36-005-000100,6661.0,100.0
360050002000,0.0,36-005-000200,4453.0,0.0
360050002001,1319.0,36-005-000200,4453.0,29.62
360050002002,1820.0,36-005-000200,4453.0,40.87
360050002003,1314.0,36-005-000200,4453.0,29.51
360050004000,0.0,36-005-000400,6000.0,0.0
360050004001,608.0,36-005-000400,6000.0,10.13
360050004002,860.0,36-005-000400,6000.0,14.33
360050004003,3946.0,36-005-000400,6000.0,65.77
360050004004,586.0,36-005-000400,6000.0,9.77
360050016001,2962.0,36-005-001600,6038.0,49.06
360050016002,671.0,36-005-001600,6038.0,11.11
360050016003,1287.0,36-005-001600,6038.0,21.32
360050016004,1118.0,36-005-001600,6038.0,18.52
360050019011,2168.0,36-005-001901,2168.0,100.0
360050019021,1399.0,36-005-001902,1399.0,100.0
360050020011,2689.0,36-005-002001,4694.0,57.29
360050020012,1333.0,36-005-002001,4694.0,28.4
360050020013,672.0,36-005-002001,4694.0,14.32
360050020021,333.0,36-005-002002,4274.0,7.79
360050020022,2643.0,36-005-002002,4274.0,61.84
360050020023,1298.0,36-005-002002,4274.0,30.37
360050023001,2133.0,36-005-002300,4465.0,47.77
360050023002,1008.0,36-005-002300,4465.0,22.58
360050023003,1324.0,36-005-002300,4465.0,29.65
360050025001,1124.0,36-005-002500,5662.0,19.85
360050025002,1176.0,36-005-002500,5662.0,20.77
360050025003,1049.0,36-005-002500,5662.0,18.53
360050025004,1465.0,36-005-002500,5662.0,25.87
360050025005,848.0,36-005-002500,5662.0,14.98
360050027011,1348.0,36-005-002701,2938.0,45.88
360050027012,1590.0,36-005-002701,2938.0,54.12
360050027021,1335.0,36-005-002702,4413.0,30.25
360050027022,560.0,36-005-002702,4413.0,12.69
360050027023,1254.0,36-005-002702,4413.0,28.42
360050027024,1264.0,36-005-002702,4413.0,28.64
360050028001,1106.0,36-005-002800,5372.0,20.59
360050028002,1772.0,36-005-002800,5372.0,32.99
360050028003,1336.0,36-005-002800,5372.0,24.87
360050028004,1158.0,36-005-002800,5372.0,21.56
360050031001,2165.0,36-005-003100,2165.0,100.0
360050033001,545.0,36-005-003300,3339.0,16.32
360050033002,1782.0,36-005-003300,3339.0,53.37
360050033003,1012.0,36-005-003300,3339.0,30.31
360050035001,790.0,36-005-003500,3880.0,20.36
360050035002,1392.0,36-005-003500,3880.0,35.88
360050035003,1698.0,36-005-003500,3880.0,43.76
360050037001,277.0,36-005-003700,277.0,100.0
360050038001,1313.0,36-005-003800,1313.0,100.0
360050039001,1780.0,36-005-003900,6710.0,26.53
360050039002,329.0,36-005-003900,6710.0,4.9
360050039003,1452.0,36-005-003900,6710.0,21.64
360050039004,281.0,36-005-003900,6710.0,4.19
360050039005,2868.0,36-005-003900,6710.0,42.74
360050040011,1574.0,36-005-004001,1574.0,100.0
360050041001,988.0,36-005-004100,5798.0,17.04
360050041002,1562.0,36-005-004100,5798.0,26.94
360050041003,87.0,36-005-004100,5798.0,1.5
360050041004,3161.0,36-005-004100,5798.0,54.52
360050042001,704.0,36-005-004200,7803.0,9.02
360050042002,2003.0,36-005-004200,7803.0,25.67
360050042003,2216.0,36-005-004200,7803.0,28.4
360050042004,1308.0,36-005-004200,7803.0,16.76
360050042005,991.0,36-005-004200,7803.0,12.7
360050042006,0.0,36-005-004200,7803.0,0.0
360050042007,581.0,36-005-004200,7803.0,7.45
360050043001,1546.0,36-005-004300,5527.0,27.97
360050043002,1687.0,36-005-004300,5527.0,30.52
360050043003,1470.0,36-005-004300,5527.0,26.6
360050043004,824.0,36-005-004300,5527.0,14.91
360050044001,970.0,36-005-004400,4551.0,21.31
360050044002,657.0,36-005-004400,4551.0,14.44
360050044003,1793.0,36-005-004400,4551.0,39.4
360050044004,1131.0,36-005-004400,4551.0,24.85
360050046001,1826.0,36-005-004600,1826.0,100.0
360050048001,1986.0,36-005-004800,4464.0,44.49
360050048002,2478.0,36-005-004800,4464.0,55.51
360050050011,613.0,36-005-005001,4304.0,14.24
360050050012,1933.0,36-005-005001,4304.0,44.91
360050050013,837.0,36-005-005001,4304.0,19.45
360050050014,921.0,36-005-005001,4304.0,21.4
360050050021,2450.0,36-005-005002,6393.0,38.32
360050050022,974.0,36-005-005002,6393.0,15.24
360050050023,2027.0,36-005-005002,6393.0,31.71
360050050024,942.0,36-005-005002,6393.0,14.73
360050051001,393.0,36-005-005100,6087.0,6.46
360050051002,3751.0,36-005-005100,6087.0,61.62
360050051003,1943.0,36-005-005100,6087.0,31.92
360050052001,862.0,36-005-005200,1833.0,47.03
360050052002,971.0,36-005-005200,1833.0,52.97
360050053001,2808.0,36-005-005300,5472.0,51.32
360050053002,2664.0,36-005-005300,5472.0,48.68
360050054001,1051.0,36-005-005400,5638.0,18.64
360050054002,2420.0,36-005-005400,5638.0,42.92
360050054003,1223.0,36-005-005400,5638.0,21.69
360050054004,944.0,36-005-005400,5638.0,16.74
360050056001,815.0,36-005-005600,2168.0,37.59
360050056002,649.0,36-005-005600,2168.0,29.94
360050056003,704.0,36-005-005600,2168.0,32.47
360050059021,1210.0,36-005-005902,2730.0,44.32
360050059022,1520.0,36-005-005902,2730.0,55.68
360050060001,1295.0,36-005-006000,1295.0,100.0
360050060002,0.0,36-005-006000,1295.0,0.0
360050061001,0.0,36-005-006100,3955.0,0.0
360050061002,2879.0,36-005-006100,3955.0,72.79
360050061003,1076.0,36-005-006100,3955.0,27.21
360050061004,0.0,36-005-006100,3955.0,0.0
360050062001,889.0,36-005-006200,6710.0,13.25
360050062002,2284.0,36-005-006200,6710.0,34.04
360050062003,1729.0,36-005-006200,6710.0,25.77
360050062004,1455.0,36-005-006200,6710.0,21.68
360050062005,353.0,36-005-006200,6710.0,5.26
360050063011,650.0,36-005-006301,5521.0,11.77
360050063012,670.0,36-005-006301,5521.0,12.14
360050063013,822.0,36-005-006301,5521.0,14.89
360050063014,3132.0,36-005-006301,5521.0,56.73
360050063015,144.0,36-005-006301,5521.0,2.61
360050063016,103.0,36-005-006301,5521.0,1.87
360050064001,1571.0,36-005-006400,4061.0,38.69
360050064002,558.0,36-005-006400,4061.0,13.74
360050064003,982.0,36-005-006400,4061.0,24.18
360050064004,950.0,36-005-006400,4061.0,23.39
360050065001,1104.0,36-005-006500,5681.0,19.43
360050065002,3120.0,36-005-006500,5681.0,54.92
360050065003,807.0,36-005-006500,5681.0,14.21
360050065004,650.0,36-005-006500,5681.0,11.44
360050067001,785.0,36-005-006700,6993.0,11.23
360050067002,1926.0,36-005-006700,6993.0,27.54
360050067003,892.0,36-005-006700,6993.0,12.76
360050067004,1461.0,36-005-006700,6993.0,20.89
360050067005,495.0,36-005-006700,6993.0,7.08
360050067006,1434.0,36-005-006700,6993.0,20.51
360050068001,1382.0,36-005-006800,2765.0,49.98
360050068002,607.0,36-005-006800,2765.0,21.95
360050068003,776.0,36-005-006800,2765.0,28.07
360050069001,3201.0,36-005-006900,7255.0,44.12
360050069002,1054.0,36-005-006900,7255.0,14.53
360050069003,1630.0,36-005-006900,7255.0,22.47
360050069004,1370.0,36-005-006900,7255.0,18.88
360050070001,2396.0,36-005-007000,4235.0,56.58
360050070002,648.0,36-005-007000,4235.0,15.3
360050070003,1191.0,36-005-007000,4235.0,28.12
360050071001,805.0,36-005-007100,2827.0,28.48
360050071002,2022.0,36-005-007100,2827.0,71.52
360050072001,2594.0,36-005-007200,6430.0,40.34
360050072002,2039.0,36-005-007200,6430.0,31.71
360050072003,1241.0,36-005-007200,6430.0,19.3
360050072004,556.0,36-005-007200,6430.0,8.65
360050073001,1736.0,36-005-007300,4301.0,40.36
360050073002,906.0,36-005-007300,4301.0,21.06
360050073003,1659.0,36-005-007300,4301.0,38.57
360050074001,1166.0,36-005-007400,3078.0,37.88
360050074002,1189.0,36-005-007400,3078.0,38.63
360050074003,723.0,36-005-007400,3078.0,23.49
360050075001,1114.0,36-005-007500,6295.0,17.7
360050075002,3704.0,36-005-007500,6295.0,58.84
360050075003,743.0,36-005-007500,6295.0,11.8
360050075004,734.0,36-005-007500,6295.0,11.66
360050076001,1131.0,36-005-007600,5293.0,21.37
360050076002,782.0,36-005-007600,5293.0,14.77
360050076003,1119.0,36-005-007600,5293.0,21.14
360050076004,1537.0,36-005-007600,5293.0,29.04
360050076005,724.0,36-005-007600,5293.0,13.68
360050077001,2165.0,36-005-007700,2165.0,100.0
360050078001,1715.0,36-005-007800,6301.0,27.22
360050078002,2773.0,36-005-007800,6301.0,44.01
360050078003,425.0,36-005-007800,6301.0,6.74
360050078004,1388.0,36-005-007800,6301.0,22.03
360050079001,1875.0,36-005-007900,7157.0,26.2
360050079002,270.0,36-005-007900,7157.0,3.77
360050079003,1827.0,36-005-007900,7157.0,25.53
360050079004,1281.0,36-005-007900,7157.0,17.9
360050079005,697.0,36-005-007900,7157.0,9.74
360050079006,1207.0,36-005-007900,7157.0,16.86
360050083001,989.0,36-005-008300,6121.0,16.16
360050083002,782.0,36-005-008300,6121.0,12.78
360050083003,1054.0,36-005-008300,6121.0,17.22
360050083004,1811.0,36-005-008300,6121.0,29.59
360050083005,876.0,36-005-008300,6121.0,14.31
360050083006,609.0,36-005-008300,6121.0,9.95
360050084001,872.0,36-005-008400,3290.0,26.5
360050084002,2418.0,36-005-008400,3290.0,73.5
360050085001,700.0,36-005-008500,5706.0,12.27
360050085002,2389.0,36-005-008500,5706.0,41.87
360050085003,1160.0,36-005-008500,5706.0,20.33
360050085004,474.0,36-005-008500,5706.0,8.31
360050085005,983.0,36-005-008500,5706.0,17.23
360050086001,1198.0,36-005-008600,4134.0,28.98
360050086002,1255.0,36-005-008600,4134.0,30.36
360050086003,1681.0,36-005-008600,4134.0,40.66
360050087001,1725.0,36-005-008700,6328.0,27.26
360050087002,1865.0,36-005-008700,6328.0,29.47
360050087003,990.0,36-005-008700,6328.0,15.64
360050087004,804.0,36-005-008700,6328.0,12.71
360050087005,944.0,36-005-008700,6328.0,14.92
360050089001,1368.0,36-005-008900,3197.0,42.79
360050089002,1829.0,36-005-008900,3197.0,57.21
360050090000,0.0,36-005-009000,3693.0,0.0
360050090001,49.0,36-005-009000,3693.0,1.33
360050090002,490.0,36-005-009000,3693.0,13.27
360050090003,767.0,36-005-009000,3693.0,20.77
360050090004,979.0,36-005-009000,3693.0,26.51
360050090005,1408.0,36-005-009000,3693.0,38.13
360050092001,1702.0,36-005-009200,6122.0,27.8
360050092002,948.0,36-005-009200,6122.0,15.49
360050092003,1677.0,36-005-009200,6122.0,27.39
360050092004,1150.0,36-005-009200,6122.0,18.78
360050092005,645.0,36-005-009200,6122.0,10.54
360050093011,608.0,36-005-009301,4928.0,12.34
360050093012,1250.0,36-005-009301,4928.0,25.37
360050093013,1521.0,36-005-009301,4928.0,30.86
360050093014,1101.0,36-005-009301,4928.0,22.34
360050093015,0.0,36-005-009301,4928.0,0.0
360050093016,448.0,36-005-009301,4928.0,9.09
360050093020,0.0,36-005-009302,566.0,0.0
360050093021,566.0,36-005-009302,566.0,100.0
360050093022,0.0,36-005-009302,566.0,0.0
360050096001,1984.0,36-005-009600,2762.0,71.83
360050096002,778.0,36-005-009600,2762.0,28.17
360050098001,756.0,36-005-009800,4818.0,15.69
360050098002,1287.0,36-005-009800,4818.0,26.71
360050098003,932.0,36-005-009800,4818.0,19.34
360050098004,692.0,36-005-009800,4818.0,14.36
360050098005,1151.0,36-005-009800,4818.0,23.89
360050115021,1267.0,36-005-011502,4210.0,30.1
360050115022,1380.0,36-005-011502,4210.0,32.78
360050115023,1563.0,36-005-011502,4210.0,37.13
360050117011,1608.0,36-005-011701,1608.0,100.0
360050117012,0.0,36-005-011701,1608.0,0.0
360050118000,0.0,36-005-011800,6041.0,0.0
360050118001,3105.0,36-005-011800,6041.0,51.4
360050118002,1350.0,36-005-011800,6041.0,22.35
360050118003,1586.0,36-005-011800,6041.0,26.25
360050119001,3001.0,36-005-011900,6193.0,48.46
360050119002,924.0,36-005-011900,6193.0,14.92
360050119003,620.0,36-005-011900,6193.0,10.01
360050119004,916.0,36-005-011900,6193.0,14.79
360050119005,732.0,36-005-011900,6193.0,11.82
360050121011,1139.0,36-005-012101,3267.0,34.86
360050121012,2128.0,36-005-012101,3267.0,65.14
360050121021,1463.0,36-005-012102,1463.0,100.0
360050123001,1702.0,36-005-012300,4582.0,37.15
360050123002,1933.0,36-005-012300,4582.0,42.19
360050123003,947.0,36-005-012300,4582.0,20.67
360050123004,0.0,36-005-012300,4582.0,0.0
360050123005,0.0,36-005-012300,4582.0,0.0
360050123006,0.0,36-005-012300,4582.0,0.0
360050125001,2703.0,36-005-012500,4014.0,67.34
360050125002,1311.0,36-005-012500,4014.0,32.66
360050127011,1310.0,36-005-012701,2207.0,59.36
360050127012,897.0,36-005-012701,2207.0,40.64
360050129011,1249.0,36-005-012901,4961.0,25.18
360050129012,3712.0,36-005-012901,4961.0,74.82
360050130001,1297.0,36-005-013000,1297.0,100.0
360050131001,1463.0,36-005-013100,5252.0,27.86
360050131002,1120.0,36-005-013100,5252.0,21.33
360050131003,1938.0,36-005-013100,5252.0,36.9
