NAME,YEAR,CONSTRUCTOR_NAME,NUM_UNIQUE_ROUNDS
Nino Farina,1952,Ferrari,7
Nino Farina,1953,Ferrari,8
Nino Farina,1954,Ferrari,2
Nino Farina,1955,Ferrari,4
Olivier Gendebien,1956,Ferrari,2
Olivier Gendebien,1958,Ferrari,3
Olivier Gendebien,1959,Ferrari,2
Onofre Marimón,1953,Maserati,6
Onofre Marimón,1954,Maserati,5
Paco Godia,1956,Maserati,5
Paco Godia,1957,Maserati,3
Paco Godia,1958,Maserati,4
Paul Frère,1953,HWM,2
Paul Frère,1954,Gordini,3
Paul Frère,1955,Ferrari,2
Peter Collins,1952,HWM,5
Peter Collins,1953,HWM,4
Peter Collins,1954,Vanwall,3
Peter Collins,1955,Maserati,2
Peter Collins,1956,Ferrari,7
Peter Collins,1957,Ferrari,6
Peter Collins,1958,Ferrari,7
Peter Hirt,1952,Ferrari,3
Peter Whitehead,1950,Ferrari,3
Peter Whitehead,1951,Ferrari,4
Phil Hill,1959,Ferrari,7
Philippe Étancelin,1950,Talbot-Lago,6
Philippe Étancelin,1951,Talbot-Lago,5
Piero Carini,1952,Ferrari,2
Piero Taruffi,1951,Ferrari,5
Piero Taruffi,1952,Ferrari,6
Pierre Levegh,1950,Talbot-Lago,3
Pierre Levegh,1951,Talbot-Lago,3
Prince Bira,1950,Maserati,4
Prince Bira,1954,Maserati,6
Robert Manzon,1950,Simca,3
Robert Manzon,1951,Simca,4
Robert Manzon,1952,Gordini,7
Robert Manzon,1954,Ferrari,6
Robert Manzon,1955,Gordini,3
Robert Manzon,1956,Gordini,5
Roberto Mieres,1953,Gordini,3
Roberto Mieres,1954,Maserati,8
Roberto Mieres,1955,Maserati,6
Ron Flockhart,1957,BRM,2
Ron Flockhart,1959,BRM,5
Roy Salvadori,1953,Connaught,5
Roy Salvadori,1954,Maserati,2
Roy Salvadori,1956,Maserati,3
Roy Salvadori,1958,Cooper,9
Roy Salvadori,1959,Cooper-Maserati,7
Rudi Fischer,1951,Ferrari,2
Rudi Fischer,1952,Ferrari,5
Sergio Mantovani,1954,Maserati,6
Stirling Moss,1954,Maserati,6
Stirling Moss,1955,Mercedes,6
Stirling Moss,1956,Maserati,7
Stirling Moss,1959,Cooper-Climax,8
Stuart Lewis-Evans,1958,Vanwall,8
Toni Branca,1950,Maserati,2
Toni Ulmen,1952,Veritas,2
Tony Brooks,1956,BRM,2
Tony Brooks,1957,Vanwall,5
Tony Brooks,1958,Vanwall,9
Tony Brooks,1959,Ferrari,8
Tony Gaze,1952,HWM,4
Toulo de Graffenried,1950,Maserati,4
Toulo de Graffenried,1951,Alfa Romeo,5
Toulo de Graffenried,1952,Maserati,4
Toulo de Graffenried,1953,Maserati,7
Toulo de Graffenried,1954,Maserati,2
Troy Ruttman,1958,Maserati,2
Umberto Maglioli,1954,Ferrari,3
Umberto Maglioli,1955,Ferrari,2
Umberto Maglioli,1956,Maserati,3
Wolfgang von Trips,1957,Ferrari,3
Wolfgang von Trips,1958,Ferrari,6
Yves Cabantous,1950,Talbot-Lago,4
Yves Cabantous,1951,Talbot-Lago,6
Yves Cabantous,1953,HWM,2
Élie Bayol,1953,OSCA,2
Élie Bayol,1955,Gordini,2
