state,level,total_buildings,avg_coverage_percent,avg_suitable_percent,total_panels,total_kw_capacity,total_energy_potential,total_carbon_offset,current_installations,installation_gap
Georgia,Postal Code,1502091,72.02704651939646,76.48404856671779,139653741,3.491343525E7,4.4581060812036766E10,2.6673519941978436E7,1906,1007009.8382095457
Guaynabo,Postal Code,12113,96.69070837371876,88.43952681035891,986943,246735.75,3.426373809947451E8,230594.4901825723,0,10604.539169642107
Hawaii,Postal Code,204227,85.77323256083754,94.93133340007105,19835765,4958941.25,7.400954705809179E9,4657525.910539113,25376,159580.72527567114
Hormigueros,Postal Code,1194,58.690744920993225,91.84615384615384,54608,13652.0,1.9401835649896257E7,13057.408935665711,0,643.6279909706547
Idaho,Postal Code,311671,77.44616743720587,85.81752126830317,23026001,5756500.25,7.504231760321072E9,1995437.83571835,529,235771.04407941378
Illinois,Postal Code,2052522,81.52174935109403,81.22551550568912,163236997,4.080924925E7,4.7047851222022064E10,3.877674830638688E7,2447,1580146.0889115774
Indiana,Postal Code,1116413,72.70729951623913,80.98704273615954,93048465,2.326211625E7,2.685104138354419E10,2.2222230940975703E7,987,827073.0720860756
Iowa,Postal Code,350073,72.26174249883252,78.45999338382977,29910958,7477739.5,8.830596479387411E9,4474350.521690872,248,235804.6918105343
Kansas,Postal Code,417118,78.00151867237689,83.90980882904063,36723960,9180990.0,1.1849160234790615E10,8225046.27693307,737,321122.48725984455
Kentucky,Postal Code,577255,75.34738154677153,86.85440770148307,47570216,1.1892554E7,1.4104070608580994E10,1.0935523832197247E7,725,449089.7408733366
Louisiana,Postal Code,864431,74.02401966050748,85.77600943642517,80134650,2.00336625E7,2.5827876726134464E10,1.6083222605670767E7,8221,678189.0092349958
Maine,Postal Code,99960,63.10106887979923,63.63666881149767,7689271,1922317.75,2.189004685142859E9,947591.4564713892,360,60946.61803768617
Maryland,Postal Code,705396,71.16030669975414,78.2143673837333,47560886,1.18902215E7,1.4360334548562885E10,9317029.141011486,6064,513755.6247098545
Massachusetts,Postal Code,1000732,81.69850341980235,73.94909266069027,68609324,1.7152331E7,1.9399236401382404E10,8399385.428188125,15350,684870.4675823059
Mayagüez,Postal Code,7348,93.56904274340901,91.3667202708606,571212,142803.0,2.0398940560508427E8,137284.59180836374,0,5856.8410210622815
Michigan,Postal Code,1846232,76.11109096649125,79.04143589637175,147391827,3.684795675E7,4.08400333992527E10,3.2063411389291123E7,1717,1330761.8687748557
Minnesota,Postal Code,769481,83.07005491274448,72.02677785988112,65464154,1.63660385E7,1.8617438249156933E10,9432736.4318702,1517,522553.3361885385
Mississippi,Postal Code,324867,72.63111176104802,82.19166818603286,32127017,8031754.25,1.0378294594571173E10,6657377.0431828415,356,227703.07295905057
Missouri,Postal Code,1031097,80.34422515005366,82.55774214780111,83816328,2.0954082E7,2.603897173414675E10,2.092245546777513E7,2854,805856.6148613474
Moca,Postal Code,1,0.36900369003690037,100.0,28,7.0,8580.857080078125,5.774905113871622,0,0.0036900369003690036
Montana,Postal Code,118654,69.92868695582884,74.89138821125225,9181610,2295402.5,2.7097855729772882E9,720554.5926224514,261,84112.64693112012
Nebraska,Postal Code,283330,80.3729482344542,86.8810104386528,21495882,5373970.5,6.698087315291831E9,3393835.347755131,209,231078.41740154207
Nevada,Postal Code,569104,80.35806150420441,92.41557021018671,43540016,1.0885004E7,1.7206349924622555E10,6541464.54058874,12738,478877.93939108413
New Hampshire,Postal Code,107012,50.14231216128735,68.14373199300624,9037409,2259352.25,2.5504562738240113E9,1104316.148032614,262,61918.891929688296
New Jersey,Postal Code,1629714,88.22893832760148,76.2982184524033,116249897,2.906247425E7,3.3904852397547024E10,2.1299363239696037E7,12628,1200272.3395353134
New Mexico,Postal Code,365713,73.56221925571542,90.66469204457194,29552308,7388077.0,1.218700209850356E10,5184507.904926238,3749,303881.844000401
New York,Postal Code,2502541,85.27673962577262,77.40818366695984,157857812,3.9464453E7,4.483144645466716E10,2.17985093083663E7,18744,1900376.7966704168
North Carolina,Postal Code,1416043,63.194070914764936,76.831511026237,123962977,3.099074425E7,3.951983352720979E10,2.331195192699679E7,2910,898942.9357829803
North Dakota,Postal Code,77117,78.53210718919708,80.68802648949998,8128226,2032056.5,2.295970930981845E9,1163339.1647784072,24,54040.66212197837
Ohio,Postal Code,2192109,79.33516702608135,82.39723759334927,171022353,4.275558825E7,4.8048536615677925E10,3.97768104632109E7,2840,1696965.1405276137
Oklahoma,Postal Code,700888,76.98000635053329,90.6883086147428,60455902,1.51139755E7,2.0183717271261906E10,1.3653148546175597E7,802,589371.2017324939
Oregon,Postal Code,772441,76.67033698320569,85.56283254708075,61510848,1.5377712E7,1.6486992928991991E10,4384028.977048002,8647,577421.5000383966
Pennsylvania,Postal Code,1954585,79.06967897178195,79.50152162654109,133004637,3.325115925E7,3.801373223137531E10,2.5546821485438112E7,4402,1390474.4651302116
Ponce,Postal Code,18706,87.87217710733272,91.44872619683593,1162806,290701.5,3.8480155374663687E8,258970.92094872272,0,14555.374591197777
Rhode Island,Postal Code,202865,83.8420145651795,75.47806245993253,12914100,3228525.0,3.701710212139731E9,1602800.1897457635,371,153629.54150851208
San Juan,Postal Code,44665,98.24550518972346,91.33009202920341,3423143,855785.75,1.195075494090149E9,804284.1778948521,0,39120.38810112837
South Carolina,Postal Code,907878,68.29906526292937,80.08563002130781,79183940,1.9795985E7,2.565018252480312E10,1.5057615542086853E7,1263,608717.2256396206
South Dakota,Postal Code,72847,52.45083205685707,76.16484077656688,6372371,1593092.75,1.9645498265415552E9,1047147.0385288498,21,48000.583960733566
Tennessee,Postal Code,1102947,74.46006733391978,83.65948527656543,101108289,2.527707225E7,3.096690702681165E10,2.35086385761802E7,1306,817160.4539760432
Texas,Postal Code,5476777,81.35349870837807,89.34929795432053,480505530,1.201263825E8,1.600396237517003E11,7.982046639724964E7,14127,4491663.784028505
Toa Alta,Postal Code,1123,83.18994043679682,89.33969769291966,88675,22168.75,3.1279276972485356E7,21050.91074946186,0,834.6320317670418
Toa Baja,Postal Code,6976,96.83583571162676,89.3900563813429,371052,92763.0,1.3154873553740233E8,88532.11963429808,0,6038.53778384415
Trujillo Alto,Postal Code,2854,93.46999728482216,88.81837244579282,196126,49031.5,6.841227015056156E7,46041.3645230469,0,2195.3436930297503
Utah,Postal Code,572530,76.16223561464696,85.93581601402273,43988756,1.0997189E7,1.5209638303221928E10,4044369.724602101,3161,458565.1364241825
Vermont,Postal Code,19504,79.35918973288327,79.5994775409519,1988764,497191.0,5.453537150415834E8,236132.86981235372,131,13554.509780855822
Virginia,Postal Code,963270,70.44108422452733,77.44664178774818,74735305,1.868382625E7,2.3113080773399204E10,1.453453781879123E7,2407,658272.2765099665
Washington,Postal Code,1510869,83.21639552127759,84.03996306007777,107756625,2.693915625E7,2.743023292940039E10,7293347.185103217,5756,1143029.7031872764
West Virginia,Postal Code,154869,66.83908549978547,82.71154300892732,11336559,2834139.75,3.2573891957982965E9,2696642.54367634,80,106518.35318355222
Wisconsin,Postal Code,900028,78.21393285262631,80.06679188975762,82263947,2.056598675E7,2.34864826721245E10,1.849348625400976E7,1913,654730.188128239
Wyoming,Postal Code,53068,78.96861340065533,78.76528710918183,3843267,960816.75,1.300665963824701E9,399141.77153828304,29,36953.00463914831
Aguadilla,Census Tract,5852,95.93904539313895,89.84303986917156,432711,108177.75,1.600791127508179E8,107733.02459435827,0,5468.439811107924
Alabama,Census Tract,814213,118.15181543509537,75.7064689620111,77644088,1.9411022E7,2.475919639825475E10,1.579287715528395E7,547,789527.6240517391
Alaska,Census Tract,57169,83.1343291892894,67.3891486348244,5462549,1365637.25,1.0921188689737976E9,449958.7974072519,83,43016.18153638767
Arecibo,Census Tract,3962,239.5516220035041,94.1909789661489,306604,76651.0,1.1011057736539914E8,74104.26841802277,0,3947.584280818514
Arizona,Census Tract,1754534,109.64577014936981,90.40516782276116,147450436,3.6862609E7,5.912789326542813E10,2.5393752120932452E7,39726,1803280.9766546083
Arkansas,Census Tract,370016,94.08798696727425,73.5760827694726,36012747,9003186.75,1.1362387314959013E10,7162306.228122597,239,316779.3932803031
Bayamón,Census Tract,33466,98.86868696240633,90.54093297303565,2134598,533649.5,7.510855318753113E8,505479.538757477,0,32554.253250840346
Cabo Rojo,Census Tract,2,5.0,100.0,668,167.0,236279.58453979492,159.01583819991797,0,0.1
California,Census Tract,8617901,93.2219977518554,84.42610938177201,654784266,1.636960665E8,2.433048468692128E11,6.7060256559903376E7,331818,7649031.071183531
Canóvanas,Census Tract,2099,111.11231184290489,82.97908947936548,139475,34868.75,4.99761733744995E7,33633.89653257158,0,2371.572897924669
Carolina,Census Tract,19688,118.61155203088131,91.95012311270571,1554053,388513.25,5.532623993939757E8,372344.8403529482,0,24165.955911787118
Cataño,Census Tract,2764,1977.1135751398201,86.57358974659549,168020,42005.0,5.957857859686889E7,40096.302153202625,0,55021.236812829186
Colorado,Census Tract,1032067,90.80594676965518,80.52159958927903,69425443,1.735636075E7,2.4667013678519062E10,1.5019343801609265E7,24362,871761.9618457776
Connecticut,Census Tract,608869,87.30600764926567,65.75337434981022,43575214,1.08938035E7,1.2438466928172298E10,5385610.014692117,5284,464232.31966245186
Delaware,Census Tract,147535,85.27792503329306,71.13500821025055,10771425,2692856.25,3.2224383527232113E9,2047732.7107329231,88,117375.670686705
District of Columbia,Census Tract,76464,85.3173154619042,63.397058540850374,3983844,995961.0,1.209717858796045E9,768728.0745405239,442,50302.198781735824
Dorado,Census Tract,3067,133.8421632605731,94.55205024605395,199501,49875.25,7.054274178618774E7,47475.16902867142,0,4454.221414329987
Florida,Census Tract,4817871,99.63463369538297,83.27936582037172,463123814,1.157809535E8,1.5797162225288788E11,8.476207196637787E7,105364,4955677.762327598
Georgia,Census Tract,1503687,96.55458334148544,68.60191456870614,140138439,3.503460975E7,4.473793351787483E10,2.6767856473523576E7,1907,1211522.6466994171
Guaynabo,Census Tract,11603,111.26805227548675,89.7713593686313,984133,246033.25,3.420050846763794E8,230168.9556225237,0,12862.76772756747
Hatillo,Census Tract,224,38.851761427901465,91.4722740602506,25246,6311.5,9067192.223126221,6102.208001967081,0,83.93639134872687
Hawaii,Census Tract,204390,92.40890122239371,90.28828623458989,19873246,4968311.5,7.41519549254585E9,4666457.0008377,25392,172196.40767529662
Hormigueros,Census Tract,1264,72.03823210284625,91.17801424826256,59807,14951.75,2.1266625235290524E7,14312.409783773295,0,984.7027328253623
Idaho,Census Tract,311878,84.46661050804317,75.91076792895495,23093899,5773474.75,7.526956885239657E9,2001480.6360385297,529,273987.97632310353
Illinois,Census Tract,2055456,91.65385121185507,75.0703988032207,164256874,4.10642185E7,4.734474756682309E10,3.901947860061418E7,2453,1676178.535140355
Indiana,Census Tract,1117000,102.884568973642,74.4162992494216,93311273,2.332781825E7,2.69281232576459E10,2.228600907525565E7,988,997196.7361046022
Iowa,Census Tract,350284,92.50237522834108,67.55135102465916,29953011,7488252.75,8.843145869399496E9,4480709.137428612,248,275208.0419100559
Kansas,Census Tract,417333,89.95113875826729,74.45838191092518,36827430,9206857.5,1.1882464352008951E10,8248164.19414453,738,342070.85295722383
Kentucky,Census Tract,575985,94.62267354085364,80.79952498243404,47393349,1.184833725E7,1.4048103923893398E10,1.0893849027434926E7,723,538331.6114371944
Louisiana,Census Tract,865003,113.44943038082381,82.17435382731469,80308875,2.007721875E7,2.5885642034581642E10,1.6119065632724501E7,8223,839813.8108176998
Loíza,Census Tract,40,85.48387096774194,75.47169811320755,1693,423.25,595043.1626098631,400.46323702419204,0,25.806451612903228
Maine,Census Tract,100065,85.24301426648185,65.17547802899195,7720530,1930132.5,2.197957054097583E9,951467.7454093618,360,70006.90989404373
Maryland,Census Tract,705813,80.0363051672659,69.81305560602681,47690643,1.192266075E7,1.4399236326491217E10,9341908.182602106,6071,573397.8892202809
Massachusetts,Census Tract,1002203,87.21982464135493,72.28938390680628,69012277,1.725306925E7,1.951414811675344E10,8448829.99986072,15369,721861.131932223
Mayagüez,Census Tract,7284,129.1771202642994,88.31524322675783,567212,141803.0,2.025526593214233E8,136317.66351863468,0,6578.887095649922
Michigan,Census Tract,1847255,96.3166332425792,72.87447311567932,147876313,3.696907825E7,4.097660987152639E10,3.217093826439564E7,1720,1504362.0038894338
Minnesota,Census Tract,770077,90.42832750511015,64.55495274901153,65662303,1.641557575E7,1.8673751434616875E10,9461269.60415691,1518,563055.7938319364
Mississippi,Census Tract,325095,110.38685412641186,70.47452389375442,32218920,8054730.0,1.0408673466612555E10,6675246.399348796,356,288562.5127109712
Missouri,Census Tract,1032104,89.17689216788044,76.3366899845083,84085928,2.1021482E7,2.6123174340937077E10,2.098877094279073E7,2864,882129.1365566169
Moca,Census Tract,1,0.8264462809917356,100.0,28,7.0,8580.857080078125,5.774905113871622,0,0.008264462809917356
Montana,Census Tract,118683,80.417314727058,72.27714051202193,9189162,2297290.5,2.711943864901141E9,721128.5004524508,262,96183.3145393218
Nebraska,Census Tract,283467,93.41757348883557,80.62010526352871,21582607,5395651.75,6.725165429183444E9,3407555.482436877,210,244964.673418687
Nevada,Census Tract,569461,98.16257499733608,90.79523059001976,43616656,1.0904164E7,1.723610817027167E10,6552267.614581583,12746,562952.1750135524
New Hampshire,Census Tract,107103,82.68678043934634,67.9415712418198,9054358,2263589.5,2.555251276171985E9,1106392.337547703,262,74639.77549666421
New Jersey,Census Tract,1632773,124.22007839679854,72.49284036555349,117024321,2.925608025E7,3.4132296027414562E10,2.144182525895091E7,12655,2570619.462187912
New Mexico,Census Tract,365962,90.19310294856498,87.26558195086373,29605361,7401340.25,1.2208818476493713E10,5193766.818696551,3749,342194.2334949806
New York,Census Tract,2506035,87.01654666423346,70.3824007333638,158794563,3.969864075E7,4.5100394878669464E10,2.1932730052032903E7,18795,2017808.4148486147
North Carolina,Census Tract,1416843,111.00378212601817,68.18277115519244,124233257,3.105831425E7,3.96072648480049E10,2.336398423961253E7,2911,1267657.036715942
North Dakota,Census Tract,77129,88.55661024596189,75.3665552162828,8138951,2034737.75,2.299032486195364E9,1164890.4157271704,24,65009.905287701804
Ohio,Census Tract,2194900,100.1957983798897,76.22748275975313,171901350,4.29753375E7,4.830016098635466E10,3.998511869480568E7,2845,1939807.3249374295
Oklahoma,Census Tract,701280,90.58936275851072,87.74299094697147,60560124,1.5140031E7,2.021858619869937E10,1.3676736482410647E7,802,641479.2208611177
Oregon,Census Tract,773130,92.07550262671663,79.62664401997048,61617355,1.540433875E7,1.6514535968386444E10,4391352.901025,8653,680780.7037332306
Pennsylvania,Census Tract,1956097,92.68306466974033,68.85707992410286,133691622,3.34229055E7,3.821000921575753E10,2.5679219804377407E7,4408,1706926.1640014665
Ponce,Census Tract,18091,91.56236721318227,89.9396040617879,1165041,291260.25,3.857312959626892E8,259596.63619231156,0,16383.4651576044
Rhode Island,Census Tract,203167,91.74013630607047,75.69773905575148,13001474,3250368.5,3.7268148137138762E9,1613670.238764769,371,159570.97711574263
San Juan,Census Tract,44341,361.1600438845385,90.2046719638303,3375014,843753.5,1.1776746980644774E9,792573.4658976337,0,135497.02267364273
South Carolina,Census Tract,908394,95.47395975225123,73.39684628969717,79312131,1.982803275E7,2.569227529133939E10,1.5082325953191794E7,1266,767679.7663351205
South Dakota,Census Tract,72867,82.78193284825554,73.1301178566635,6377373,1594343.25,1.9660833468824432E9,1047973.7956763804,21,57160.70345690645
Tennessee,Census Tract,1105463,96.22961807019112,76.27267213792194,101762224,2.5440556E7,3.1169276299068554E10,2.3662867396383427E7,1312,970798.3760188912
Texas,Census Tract,5480573,89.86343251034103,83.60340471279187,481747719,1.2043692975E8,1.6045807055608868E11,8.002657209620419E7,14139,4954592.307467776
Toa Alta,Census Tract,1345,1710.7408116079803,87.95785274938673,73394,18348.5,2.57254315722229E7,17313.180368415116,0,38890.35772112101
Toa Baja,Census Tract,6517,108.02498418769798,90.59109586594275,362967,90741.75,1.2865028623981933E8,86581.46720940567,0,6972.2885128846465
Trujillo Alto,Census Tract,2873,2040.5624934431328,86.22386755943712,197851,49462.75,6.900895258372192E7,46442.93098691624,0,40499.795790026445
Utah,Census Tract,573155,93.12673983869175,84.22705043917742,44105531,1.102638275E7,1.5249940379663124E10,4055086.38298331,3166,540842.1966447389
Vermont,Census Tract,19530,102.79805757806194,68.89857488088953,2012472,503118.0,5.519428630689392E8,238985.90700712064,131,18835.149205491114
Virginia,Census Tract,963792,90.98671520397548,70.29803660202286,74914378,1.87285945E7,2.316904438125027E10,1.4570516612738723E7,2409,771632.1278308018
Washington,Census Tract,1511814,102.21900785046996,74.3926663890639,107938035,2.698450875E7,2.7475803851394146E10,7305348.121577986,5759,1372325.5163913148
West Virginia,Census Tract,155047,134.7040655714731,71.8114182883734,11387665,2846916.25,3.2721658839079347E9,2708875.483437571,80,204986.1581695313
Wisconsin,Census Tract,900707,93.1936525385241,74.55363214741563,82459475,2.061486875E7,2.3542559983903282E10,1.8538719211838692E7,1914,741178.4579653259
Wyoming,Census Tract,53090,75.8881197240555,78.68145154613299,3848056,962014.0,1.3022681645376706E9,399567.8100756294,29,43733.82279143176
