family_id,earliest_publication_date,distinct_publication_numbers,distinct_country_codes,distinct_cpc_codes,distinct_ipc_codes,citing_families,cited_families
44368499,2015-01-06,"US-2015118113-A1,US-8926908-B2",US,"B01J19/0006,B01J19/0013,B01J19/127,B01J19/1812,B01J19/20,B01J19/245,B01J2219/00074,B01J2219/00085,B01J2219/00144,B01J2219/00162,B01J2219/00164,B01J2219/0801,B01J2219/0871,B01J2219/0875,B01J2219/1203,B01J2219/187,B01J2219/24,C01B2203/0266,C01B2203/04,C01B2203/0465,C01B2203/0485,C01B2203/0811,C01B2203/0822,C01B2203/0872,C01B2203/0883,C01B3/02,C01B3/24,C01B3/26,C10B23/00,C10B53/02,C10J2300/1284,C10J2300/1665,C10J2300/1884,C10J2300/1892,C10J3/20,C10J3/72,C10J3/723,F23G5/02,F23G7/00,F24J2/0007,F24J2/07,F24S20/20,F24S20/40,F24S20/61,F24S23/00,G01M3/223,G01N1/405,G01N2001/021,G01N35/00613,G01N35/00871,Y02B10/20,Y02E10/40,Y02E10/41,Y02E20/12,Y02E50/10,Y02E50/14,Y02E50/30,Y02E50/32,Y02E60/32,Y02E60/36,Y02E60/364,Y02E60/366,Y02P20/10,Y02P20/129,Y02P20/133,Y02T10/12,Y02T10/16","B01J19/00,B01J19/12,B01J19/18,B01J19/20,B01J19/24,B01J4/00,B01J8/00,C01B3/24,C01B3/26,C10B53/02,C10J3/72,F24J2/00,F24S20/20,F24S23/00,F24S23/70,F24S50/20,G01M3/22,G01N1/02,G01N1/40,G01N35/00","",""
44656132,2015-01-21,JP-5656000-B2,JP,"G06K15/022,G06K15/1856,G06K15/1857,H04N1/32561,H04N1/32593","B41J5/30,G03G15/36,G06F3/12","",""
45352294,2015-01-28,JP-5661346-B2,JP,"G06F3/1203,G06F3/1239,G06F3/1273,G06F3/1288",G06F3/12,"",""
45594158,2015-01-13,US-8934781-B2,US,"H04L41/0833,H04L41/0893,H04Q11/0067,H04Q2011/0079,Y04S40/00,Y04S40/162","H04B10/00,H04L12/24,H04Q11/00","",""
45614781,2015-01-21,CN-102438863-B,CN,"B60K1/00,B60K1/04,B60K2001/001,B60K2001/0438,B60L1/003,B60L1/04,B60L50/51,B60L50/64,B60L50/66,B60L53/11,B60L53/14,B60L53/16,B60Y2200/91,B60Y2400/214,B60Y2400/61,H01M2220/20,H01M50/20,Y02E60/10,Y02T10/70,Y02T10/7072,Y02T90/12,Y02T90/14","B60L11/18,B60R16/02","",""
45810334,2015-01-28,JP-5659641-B2,JP,"A47L5/362,A47L9/1691,A47L9/327",A47L9/10,"",""
45832144,2015-01-27,US-8939670-B2,US,"A45D2200/051,A45D34/042,A45D40/262,A46B11/00,A46B11/002,A46B11/0048,A46B11/0079,A46B11/0086,A46B11/0089,A46B2200/1046","A45D34/04,A45D40/26,A46B11/00,A46B11/02","",""
46006918,2015-01-07,JP-5649048-B2,JP,"","D06F37/12,D06F39/02,D06F39/12","",""
46199682,2015-01-21,CN-104302718-A,CN,"C08L2205/025,C09D133/066,C09D133/068,C09D133/14,C09D15/00,C09D7/20,C09D7/63,C09D7/65,Y10T428/31971,Y10T428/31989","B01D53/02,C09D161/00","",""
46338079,2015-01-14,CN-102529583-B,CN,"B60C7/14,Y10T152/10,Y10T152/10009,Y10T152/10306,Y10T152/10495",B60C7/00,"",""
46397516,2015-01-28,CN-104321004-A,CN,"A47L15/424,A47L15/4257,A47L15/4409,A47L15/4418","A47L15/42,A47L15/44","",""
46455673,2015-01-13,US-8934933-B2,US,"H04W4/005,H04W4/70,H04W48/02,H04W60/00,H04W74/002,H04W74/04,H04W76/02,H04W76/048,H04W76/10,H04W76/28,H04W92/18","H04B7/00,H04W4/70,H04W60/00,H04W74/00,H04W76/02,H04W76/04,H04W76/10,H04W76/28,H04W92/18","",""
46471370,2015-01-14,CN-102581852-B,CN,"","B25J13/02,B25J13/08","",""
46516020,2015-01-01,TW-I467927-B,TW,"H03M3/344,H03M3/50,H03M7/304","H03M1/12,H03M1/66,H03M3/02","",""
46546024,2015-01-14,AR-091177-A1,AR,"H01M8/0258,H01M8/241,H01M8/2465,H01M8/248,Y02E60/50","H01M8/04,H01M8/24","",""
46580405,2015-01-14,JP-5652479-B2,JP,"B60K6/445,B60W10/06,B60W10/08,B60W10/10,B60W10/184,B60W20/00,B60W2540/06,B60W30/192,Y02T10/62,Y10S903/93","B60K6/445,B60K6/485,B60L50/16,B60W10/06,B60W10/08,B60W10/10,B60W20/00,F02D29/02","",""
46789647,2015-01-21,JP-5657401-B2,JP,"","G06F3/048,G06F3/0487,G06K9/03","",""
46967073,2015-01-07,JP-5650564-B2,JP,"G06F3/04883,G06F40/177,G06F40/18","G06F3/048,G06F3/0488","",""
47025303,2015-01-21,CN-102744621-B,CN,"",B23Q3/00,"",""
47178704,2015-01-22,JP-2015502201-A,JP,"A47J31/22,A47J31/4492,G06K1/121,G06K19/06009,G06K19/06018,G06K19/06028,G06K19/06075,G06K19/06168,G06K2019/06253,G06K2019/06271,G06K2019/0629,G06K7/10821,G06K7/1421,G06K7/1473","A47J31/06,A47J31/22,A47J31/44,G06K19/06","",""
47262295,2015-01-28,JP-5662248-B2,JP,"G01C21/265,G06F1/24",G01C21/36,"",""
47279035,2015-01-27,US-8942526-B2,US,"G02B6/245,G02B6/4403,G02B6/4429,G02B6/4431,G02B6/4471,G02B6/4479,G02B6/4495,Y10T225/10","G02B6/245,G02B6/44","",""
47291189,2015-01-05,JP-2015500185-A,JP,"B21D39/046,B65D47/06,B65D90/54,F16K27/06,Y10T29/53987","B65D33/36,B65D77/04,B65D77/22","",""
47367870,2015-01-14,CN-102840221-B,CN,"","B23K31/02,F16C11/04","",""
47445940,2015-01-12,PH-12014502368-B1,PH,"H04L41/024,H04L41/085","","",""
47569656,2015-01-28,CN-102897057-B,CN,"","B60L15/02,H02J7/02","",""
47599666,2015-01-01,TW-I467613-B,TW,"","H01H13/02,H01H13/14","",""
47780093,2015-01-21,CN-104303251-A,CN,"H01H1/20,H01H3/222,H01H50/18,H01H50/54,H01H50/64,H01H71/2418,H01H71/2436,H02H3/08","H01H1/20,H01H3/22,H01H71/24","",""
48017224,2015-01-06,US-8925849-B2,US,"B60R2022/4453,B60R22/34,B60R22/44","B60R22/44,B65H75/48","",""
48128434,2015-01-02,FR-2999294-B1,FR,"H02H3/167,H02H3/402","G01R31/08,H02H3/34","",""
48141914,2015-01-13,KR-20150004814-A,KR,"A61K33/06,A61K33/24,A61K33/42,A61K38/1709,A61K38/19,A61K8/0275,A61K8/19,A61K8/64,A61K9/0063,A61K9/10,A61K9/14,A61K9/16,A61P1/02,A61P17/02,A61P27/16,A61P31/00,A61P31/04,A61P43/00,A61P9/00,A61Q11/00","A61K33/24,A61K33/42,A61K38/19,A61P31/04","",""
48572124,2015-01-05,JP-2015500432-A,JP,"F01D9/042,F05D2300/6033,Y02T50/60","F01D25/24,F02C7/00,F02C7/20,F02K3/06","",""
48607331,2015-01-29,IL-235539-A0,IL,"B05B1/14,B05B1/3436","","",""
48669693,2015-01-08,JP-2015500879-A,JP,"A61K2039/505,A61P25/00,C07K16/18,C07K2317/24,C07K2317/34,C07K2317/56,C07K2317/565,C07K2317/76,C07K2317/92","C07K16/18,C12N1/15,C12N1/19,C12N1/21,C12N15/09,C12N5/10,C12P21/08","",""
48692677,2015-01-15,AU-2013277511-A1,AU,"A01N43/90,C07D471/04,C07D498/04,C07D498/10","A01N43/90,C07D471/04","",""
48956796,2015-01-28,CN-103252392-B,CN,"",B21D9/07,"",""
49033577,2015-01-15,CA-2917779-A1,CA,"F04D25/08,F04D25/10,F04D25/105,F04D29/681,F04F5/16,F04F5/46,F04F5/48,F24F13/26,F24F13/32,F24F7/007","F04D25/10,F04F5/16,F04F5/48,F24F7/007","",""
49043270,2015-01-13,US-8934992-B2,US,"A61N1/0556,A61N1/0558,A61N1/3611,A61N1/36135,A61N1/37217",A61N1/05,"",""
49117456,2015-01-14,EP-2822455-A2,EP,"G01N2500/20,G01N2800/085,G01N33/6893","G01N33/68,G01N33/92","",""
49118590,2015-01-10,IT-BI20130010-A1,IT,"G02B6/54,H02G1/06,H02G1/08","","",""
49380824,2015-01-07,CN-104271073-A,CN,"A61B17/06109,A61B2017/00805,A61B2017/0608,A61B90/90,A61F2/0045,A61F2/0063,A61F2250/0007,A61F2250/0091,A61F2250/0097",A61F2/00,"",""
49483346,2015-01-07,CN-104271695-A,CN,"C08L53/02,C08L53/025,C09J109/00,C09J109/06,C09J11/06,C09J153/00,C09J153/005,C09J153/02,C09J153/025,C09J167/00,C09J167/02,C09J167/04","C09J109/00,C09J11/06,C09J153/00,C09J167/00","",""
49483867,2015-01-09,"HU-E053113-T2,KR-20150003875-A","HU,KR","A61K31/277,A61P1/02,A61P11/00,A61P11/06,A61P17/06,A61P17/16,A61P19/02,A61P25/00,A61P29/00,A61P35/00,A61P37/00,A61P39/06,A61P7/00,C07B2200/13,C07C255/47,C07J63/008","A61K31/56,A61P1/02,A61P11/00,A61P17/00,A61P27/02,A61P29/00,A61P35/00,C07J63/00","",""
49736416,2015-01-28,CN-103453782-B,CN,"","F28B1/02,F28D7/10,F28F19/02,F28F21/08,F28F9/18","",""
49757043,2015-01-28,CN-104321755-A,CN,"G06F12/1009,G06F12/1027,G06F2212/652,G06F2212/683,G06F9/30047",G06F12/10,"",""
49768656,2015-01-29,KR-20150010999-A,KR,"H01R13/502,H01R13/52,H01R13/5202,H01R13/5205,H01R13/5208,H01R13/521,H01R13/5213,H01R13/5216,H01R13/5219,H01R2201/26,H01R43/00,H01R43/005,H01R43/24","H01R13/52,H01R43/00","",""
49788594,2015-01-14,CN-103463402-B,CN,"","A61K36/8966,A61P11/06","",""
49854568,2015-01-29,KR-101487496-B1,KR,"G01R31/1227,G01R31/364,G01R31/378,G01R31/385,G01R31/392,H01M10/48,H01M50/105,H01M50/553,Y02E60/10","G01R31/12,G01R31/36,H01M10/48","",""
49876683,2015-01-23,FR-3008829-A1,FR,"H10N10/01,H10N10/13,H10N10/81","G01K7/02,H10N10/00,H10N10/01,H10N10/13,H10N10/81","",""
49964396,2015-01-07,CN-103540533-B,CN,"","A23K1/16,C11B1/10,C12N1/12,C12R1/89","",""
49984296,2015-01-05,KR-101479189-B1,KR,"B08B3/00,B24B31/02,B24B55/00","B08B3/00,B24B31/02,B24B55/00","",""
50444228,2015-01-14,CN-103719734-B,CN,"A21D13/00,A21D2/34,A21D2/36,A23L33/00,A23L33/10,A23L7/117,A23V2002/00,A61K35/56,A61K35/62,A61K35/646,A61K35/648,A61K36/07,A61K36/076,A61K36/481,A61K36/486,A61K36/605,A61K36/68,A61K36/899,A61K36/8998","A21D13/00,A21D2/36,A23L33/10,A23L33/105,A23L7/117","",""
50610982,2015-01-21,JP-5656943-B2,JP,"","G03G9/08,G03G9/087,G03G9/09","",""
50735824,2015-01-01,TW-201500833-A,TW,"G02B6/0015,G02B6/0035,G03B21/2066,G03B21/2073,G03B21/208,H04N5/7408,H04N5/7416",G03B21/14,"",""
50933102,2015-01-14,CN-104276134-A,CN,"B60R25/2054,B60W50/08,E05F15/73,E05Y2400/10,E05Y2400/814,E05Y2400/852,E05Y2400/858,E05Y2800/10,E05Y2800/21,E05Y2800/40,E05Y2900/546,E05Y2900/548,G07C2009/00388,H03K17/955","B60R25/20,B60R25/24,E05B81/64,E05B81/78,G07C9/00","",""
50976479,2015-01-08,JP-2015003496-A,JP,"B41J2/1652,B41J2/16526,B41J2/16585,B41J2002/1657","B41J2/01,B41J2/175","",""
51062790,2015-01-22,WO-2015007469-A1,WO,"H01H2009/0022,H01H9/0027,H01H9/0038",H01H9/00,"",""
51162831,2015-01-22,DE-102013213969-A1,DE,"A47L15/0031,A47L15/0047,A47L15/4223,A47L15/4291,A47L2401/08,A47L2401/12,A47L2501/02,A47L2501/05,Y02B40/00","A47L15/42,A47L15/46","",""
51167528,2015-01-15,AT-514443-A1,AT,"H01G11/26,H01G11/28,H01G11/30,H01G11/82,H01G11/86,H01L28/60,H01L28/84,Y02E60/13,Y02T10/70","H01G11/30,H10N97/00","",""
51224729,2015-01-17,CA-2856902-A1,CA,"G06F1/1626,G06F3/0482,G06F3/04847,G06F3/0488,G06F3/04883,G06F3/04886,G06Q10/107,H04M1/72436","G06F3/0488,H04M1/72436,H04W4/12,H04W88/02","",""
51519656,2015-01-22,DE-102013103204-A9,DE,"B60R2021/135,B60R21/13",B60R21/13,"",""
51542325,2015-01-08,DE-202013008784-U1,DE,"E05B65/0811,E05B65/0835,E05C17/60,E05C3/006,E05C3/047,E05C9/1808,E05C9/1875,E05D13/00,E05D15/0621,E05D15/565,E05Y2201/684,E05Y2800/12,E05Y2900/148","E05C9/18,E05D15/06","",""
51686518,2015-01-29,JP-2015018209-A,JP,"B41J2/32,G02F1/167,G02F1/16755,G02F1/16757","G02F1/167,G02F1/16755,G02F1/16757","",""
52104657,2015-01-08,JP-2015004221-A,JP,"E05B77/06,E05B85/16","B60J5/04,E05B1/00,E05B83/36","",""
52106439,2015-01-22,JP-2015014364-A,JP,"B23B2250/04,B23Q11/0035,F16B2200/506,F16D1/02,F16D1/033,F16F15/10","F16B39/02,F16D1/02,F16D1/033,F16F15/10,F16F7/10","",""
52114433,2015-01-08,CA-2916699-A1,CA,"E21B43/2607,F16F7/14,F16L41/03,F16L55/035,Y10T137/6966,Y10T137/85938","E21B19/00,E21B43/16,E21B43/26","",""
52114858,2015-01-01,US-2015001836-A1,US,"B60R2021/23382,B60R21/231,B60R21/2338",B60R21/231,"",""
52117369,2015-01-06,US-8930073-B1,US,"B60R16/02,G06F9/44,G06F9/4406,H04W4/60","B60R16/02,H04W76/02","",""
52131480,2015-01-21,CN-104300703-A,CN,"H02K1/165,H02K1/24,H02K1/246,H02K1/265,H02K19/00,H02K19/12,H02K2201/03,H02K2213/03,H02K29/03,H02K3/12,H02K9/00","H02K1/14,H02K1/16","",""
52131509,2015-01-22,DE-102014109870-A1,DE,"H01L2224/27332,H01L2224/27848,H01L2224/29247,H01L2224/29647,H01L2224/32145,H01L2224/32245,H01L2224/83011,H01L2224/83065,H01L2224/83193,H01L2224/83203,H01L2224/8384,H01L2224/85547,H01L23/3736,H01L24/27,H01L24/29,H01L24/743,H01L24/83,H01L24/94,H01L2924/10253,H01L2924/10271,H01L2924/10272,H01L2924/10329,H01L2924/12042,H01L2924/15747,H01L2924/181","H01L21/58,H01L23/373,H01L23/482","",""
52141389,2015-01-19,JP-2015010822-A,JP,G01D11/245,G01D5/20,"",""
52147048,2015-01-07,CN-104255359-A,CN,A01G22/22,A01G22/22,"",""
52148581,2015-01-07,CN-104256899-A,CN,"A24F40/10,A24F40/465,A24F40/65","A24F40/10,A24F40/465,A24F40/65","",""
52149612,2015-01-07,CN-104257955-A,CN,"A61K2236/333,A61K2236/35,A61K2236/39,A61K2236/51,A61K36/285,A61K36/484,A61K36/59,A61K36/8884,A61K9/4866","A61K36/8884,A61P35/00","",""
52149853,2015-01-07,CN-104258196-A,CN,"A61K36/076,A61K36/185,A61K36/19,A61K36/236,A61K36/324,A61K36/328,A61K36/355,A61K36/428,A61K36/48,A61K36/484,A61K36/486,A61K36/62,A61K36/72,A61K36/736,A61K36/739,A61K36/74,A61K36/744,A61K36/752,A61K36/81,A61K36/86,A61K36/899,A61K36/8994","A61K36/8994,A61P1/00","",""
52151539,2015-01-07,CN-104259895-A,CN,"B23Q1/0072,B23Q3/06",B23Q3/06,"",""
52152010,2015-01-07,CN-104260368-A,CN,"B29C70/38,B29C70/54,B29C70/545",B29C70/38,"",""
52152715,2015-01-07,CN-104261084-A,CN,"B65G35/00,B65G41/001","B65G35/00,B65G41/00","",""
52152824,2015-01-07,CN-104261193-A,CN,"","B65H54/02,B65H54/547","",""
52153431,2015-01-07,CN-104261809-A,CN,"C04B2235/3217,C04B35/10,C04B35/622,C04B35/632,C04B35/63416","C04B35/10,C04B35/622","",""
52153440,2015-01-07,CN-104261818-A,CN,"","C04B35/462,C04B35/622","",""
52153596,2015-01-07,CN-104261974-A,CN,"C05C11/00,C05G3/00",C05G3/00,"",""
52155565,2015-01-07,CN-104263993-A,CN,"B22F1/10,B22F3/1021,B22F3/1103,B22F5/106,C22C9/02,C22C9/04,C22C9/06,F16L58/08","C22C9/04,F16L58/08","",""
52157554,2015-01-07,CN-104266000-A,CN,F16L21/065,F16L3/02,"",""
52158332,2015-01-07,CN-104266791-A,CN,"",G01L19/06,"",""
52158348,2015-01-07,CN-104266807-A,CN,"",G01M3/28,"",""
52160357,2015-01-07,CN-104268837-A,CN,"",G06T5/00,"",""
52162539,2015-01-07,CN-204069752-U,CN,Y02P60/12,A01D34/00,"",""
52162777,2015-01-07,CN-204069991-U,CN,"","A01G13/00,A01G25/02","",""
52163268,2015-01-07,CN-204070484-U,CN,"","A23P30/00,A23P30/20","",""
52164014,2015-01-07,CN-204071232-U,CN,"","A47C1/026,A47C17/16","",""
52165164,2015-01-07,CN-204072392-U,CN,"",A61F2/44,"",""
52165839,2015-01-07,CN-204073068-U,CN,"","A61M25/10,A61M29/02","",""
52166565,2015-01-07,CN-204073798-U,CN,"Y02E10/50,Y02E70/30","B01D53/26,H02S10/20","",""
52166772,2015-01-07,CN-204074006-U,CN,"",B01F15/00,"",""
52166916,2015-01-07,CN-204074150-U,CN,"","B02C7/04,B02C7/11","",""
52168739,2015-01-07,CN-204075977-U,CN,"",B24B33/00,"",""
52168968,2015-01-07,CN-204076207-U,CN,"",B25G1/00,"",""
52169097,2015-01-07,CN-204076336-U,CN,"","B26D1/26,B26D7/02","",""
52169227,2015-01-07,CN-204076467-U,CN,"",B28B11/14,"",""
52172408,2015-01-07,CN-204079671-U,CN,"",C02F9/08,"",""
52172966,2015-01-07,CN-204080230-U,CN,"","D01H1/241,D01H13/00","",""
52172987,2015-01-07,CN-204080251-U,CN,"",D01H13/32,"",""
52174310,2015-01-07,CN-204081577-U,CN,"","A23B7/00,A23B7/005,E04H5/08","",""
52176440,2015-01-07,CN-204083721-U,CN,"",F16M11/38,"",""
52177285,2015-01-07,CN-204084574-U,CN,"",F24D13/04,"",""
52178573,2015-01-07,CN-204085871-U,CN,"",G01M13/00,"",""
52178895,2015-01-07,CN-204086194-U,CN,"",G01N27/22,"",""
52180277,2015-01-07,CN-204087594-U,CN,"",G09B19/06,"",""
52180401,2015-01-07,CN-204087718-U,CN,"G09F9/302,G09F9/3026","G09F9/33,H05K5/06","",""
52181327,2015-01-07,CN-204088652-U,CN,"","H01R13/02,H01R24/00,H01R31/06,H01R4/20,H01R4/56","",""
52181526,2015-01-07,CN-204088853-U,CN,"","H01R43/052,H01R43/055","",""
52181641,2015-01-07,CN-204088969-U,CN,"","G05D23/19,H02B1/56","",""
52182451,2015-01-07,CN-204089785-U,CN,"",H04B1/16,"",""
52250620,2015-01-14,CN-104274977-A,CN,"","A63H27/04,A63H27/30,A63H29/22","",""
52251559,2015-01-14,CN-104276029-A,CN,"","B60K6/36,B60K6/50","",""
52253482,2015-01-14,CN-104278141-A,CN,"","C21D1/26,C21D9/573","",""
52253884,2015-01-14,CN-104278575-A,CN,"","D06L1/16,D06M101/32,D06M11/46,D06M13/00,D06M15/53,D06M15/643,D06P1/00,D06P1/16,D06P3/54","",""
52255425,2015-01-14,CN-104280328-A,CN,"",G01N15/10,"",""
52256650,2015-01-14,CN-104281783-A,CN,"",G06F19/00,"",""
52258367,2015-01-14,CN-104283885-A,CN,"H04L63/0442,H04L63/08",H04L29/06,"",""
52259360,2015-01-14,CN-204090880-U,CN,"",A21C11/10,"",""
52260221,2015-01-14,CN-204091747-U,CN,"",A47J31/44,"",""
52260374,2015-01-14,CN-204091900-U,CN,"",A47L13/16,"",""
52261615,2015-01-14,CN-204093144-U,CN,"",B01D29/64,"",""
52262717,2015-01-14,CN-204094248-U,CN,"",B23D75/00,"",""
52263913,2015-01-14,CN-204095452-U,CN,"","B29C45/06,B60H1/24","",""
52264291,2015-01-14,CN-204095842-U,CN,"",B62B3/00,"",""
52264445,2015-01-14,CN-204095999-U,CN,"",B62K15/00,"",""
52264720,2015-01-14,CN-204096274-U,CN,"",B65D43/10,"",""
52264945,2015-01-14,CN-204096500-U,CN,"",B65G29/00,"",""
52264993,2015-01-14,CN-204096548-U,CN,"",B65G43/00,"",""
52265201,2015-01-14,CN-204096756-U,CN,"","B65H49/30,B65H49/32,B65H67/02","",""
52266254,2015-01-14,CN-204097811-U,CN,"",E01B29/16,"",""
52267268,2015-01-14,CN-204098831-U,CN,"",E21B23/00,"",""
52267720,2015-01-14,CN-204099288-U,CN,"",F04D29/60,"",""
52268150,2015-01-14,CN-204099720-U,CN,"","F16L1/028,F16L1/06,F16L57/00","",""
52268162,2015-01-14,CN-204099732-U,CN,"",F16L3/137,"",""
52268876,2015-01-14,CN-204100456-U,CN,"","F24F5/00,F25B13/00","",""
52269295,2015-01-14,CN-204100875-U,CN,"",F28F3/00,"",""
52269599,2015-01-14,CN-204101180-U,CN,"",G01J3/02,"",""
52271119,2015-01-14,CN-204102712-U,CN,"","H01G4/228,H02J7/00","",""
52272021,2015-01-14,CN-204103620-U,CN,"",H02K1/16,"",""
52280199,2015-01-16,TW-201502699-A,TW,"G02B5/223,G03F7/0007,G03F7/027,G03F7/105","G02B1/04,G02B5/20,G03F7/004,G03F7/032","",""
52296339,2015-01-05,JP-2015001855-A,JP,"","G06F3/048,H04M1/00,H04N21/414","",""
52300144,2015-01-08,JP-2015003982-A,JP,"","B32B15/092,B32B5/28,C08G59/62,C09D109/00,C09D133/00,C09D161/06,C09D163/00,C09D171/12,C09D177/00,C09D179/08,C09D5/00,C09D7/12,H05K1/03","",""
52301048,2015-01-08,JP-2015005242-A,JP,"","G06F3/048,G06F9/44,G06F9/445,G06Q50/10","",""
52302869,2015-01-19,JP-2015009168-A,JP,Y02W10/10,C02F3/12,"",""
