citing_assignee_organization,cpc_subclass_title,citation_count
Mahle Behr GmbH & Co. KG,"Heat-exchange apparatus having stationary tubular conduit assemblies for both heat-exchange media, the media being in contact with different sides of a conduit wall-the conduits being arranged in parallel spaced relation -the conduits having a non-circular cross-section-with particular pattern of flow of the heat exchange media, e.g. change of flow direction",4
Modine Manufacturing Company,Making specific metal objects by operations not covered by a single other subclass or a group in this subclass-heat exchangers ; or the like,4
"NGK SPARK PLUG CO., LTD.","Investigating or analysing materials by the use of electric, electrochemical, or magnetic means -by investigating electrochemical variables; by using electrolysis or electrophoresis-Systems -checking the operation of, or calibrating, the measuring apparatus",4
PRATT & WHITNEY CANADA CORP.,Synchronous motors having permanent magnets; Synchronous generators having permanent  magnets-with stationary  armatures and rotating magnets,4
"Pentair Water Pool and Spa, Inc.","Control, e.g. regulation, of pumps, pumping installations or systems-Stopping of pumps, or operating valves, on occurrence of unwanted conditions-responsive to a condition of the pump",4
"Pentair Water Pool and Spa, Inc.","Control, e.g. regulation, of pumps, pumping installations or systems-by changing the speed, e.g. of the driving engine",4
SIEMENS AKTIENGESELLSCHAFT,"Piezo-electric devices in general; Electrostrictive devices in general; Magnetostrictive devices in general; Processes or apparatus specially adapted for the manufacture or treatment thereof or of parts thereof; Details thereof -Processes or apparatus specially adapted for the assembly, manufacture or treatment of piezo-electric or electrostrictive devices or of parts thereof-Treating devices or parts thereof to modify a piezo-electric or electrostrictive property, e.g. polarisation characteristics, vibration characteristics or mode tuning-by polarising",4
"Semiconductor Energy Laboratory Co., Ltd.","Devices consisting of a plurality of semiconductor or other solid-state components formed in or on a common substrate -including semiconductor components specially adapted for rectifying, oscillating, amplifying or switching and having at least one potential-jump barrier or surface barrier; including integrated passive circuit elements with at least one potential-jump barrier or surface barrier-the substrate being other than a semiconductor body, e.g. an insulating body-comprising a plurality of TFTs formed on a non-semiconducting substrate, e.g. driving circuits for AMLCDs-Multistep manufacturing methods-with a particular formation, treatment or coating of the substrate-the substrate on which the devices are formed not being the final device substrate, e.g. using a temporary substrate",4
TOYOTA JIDOSHA KABUSHIKI KAISHA,"Semiconductor devices adapted for rectifying, amplifying, oscillating or switching, or capacitors or resistors with at least one potential-jump barrier or surface barrier, e.g. PN junction depletion layer or carrier concentration layer; Details of semiconductor bodies or of electrodes thereof; ; Multistep manufacturing processes therefor-Types of semiconductor device ; ; Multistep manufacturing processes therefor-controllable by only the electric current supplied, or only the electric potential applied, to an electrode which does not carry the current to be rectified, amplified or switched-Bipolar devices-Transistor-type devices, i.e. able to continuously respond to applied control signals-controlled by field-effect, ; e.g. bipolar static induction transistors [BSIT] -Insulated gate bipolar mode transistors, i.e. IGBT; IGT; COMFET-Vertical transistors, e.g. vertical IGBT-with a non planar surface, e.g. with a non planar gate or with a trench or recess or pillar in the surface of the emitter, base or collector region for improving current density or short circuiting the emitter and base regions -and a gate structure lying on a slanted or vertical surface or formed in a groove, e.g. trench gate IGBT",4
TOYOTA JIDOSHA KABUSHIKI KAISHA,"Testing or monitoring of control systems or parts thereof -Electric testing or monitoring-by means of a monitoring system capable of detecting and responding to faults-characterised by the fault detection method dealing with either existing or incipient faults-Process history based detection method, e.g. whereby history implies the availability of large amounts of data",4
W.E.T. Automotive Systems AG,"Parts, details, or accessories of chairs or stools -Accessories for chairs-Adaptations for incorporating lamps, radio sets, bars, telephones, ventilation, heating or cooling arrangements or the like",4
AISIN SEIKI KABUSHIKI KAISHA,"Valve-gear or valve arrangements, e.g. lift-valve gear -characterised by the provision of means for changing the timing of the valves without changing the duration of opening ; and without affecting the magnitude of the valve lift-changing the angular relationship between crankshaft and camshaft, e.g. using helicoidal gear-using hydraulic chambers with variable volume to transmit the rotating force",3
APPLE INC.,Navigation; Navigational instruments not provided for in groups G01C1/00 - G01C19/00 -Instruments for performing navigational calculations,3
"Allegro MicroSystems, LLC","Investigating or analysing materials by the use of electric, electrochemical, or magnetic means -by investigating magnetic variables-for investigating the presence of flaws-using eddy currents-Details, e.g. in the structure or functioning of sensors",3
"Blanding Hovenweep, LLC","Control or safety arrangements-for purposes related to the operation of the system, e.g. for safety or monitoring",3
Caterpillar Inc.,"Electrical control of supply of combustible mixture or its constituents -characterised by the use of digital means-using computer, e.g. microprocessor-the computer being backed-up or assisted by another circuit, e.g. analogue",3
DELPHI TECHNOLOGIES IP LIMITED,"Systems using the reflection or reradiation of radio waves, e.g. radar systems; Analogous systems using reflection or reradiation of waves whose nature or wavelength is irrelevant or unspecified-Radar or analogous systems specially adapted for specific applications -for anti-collision purposes-of land vehicles",3
"Emerson Climate Technologies (Suzhou) Co., Ltd.",Control of temperature -characterised by the use of electric means -using a plurality of sensors -sensing the temperaure in different places in thermal relationship with one or more spaces-to control the temperature of a plurality of spaces,3
"Ethicon, Inc.","Surgical instruments, devices or methods, e.g. tourniquets -Surgical cutting instruments -using mechanical vibrations, e.g. ultrasonic -with additional movable means for clamping or cutting tissue, e.g. with a pivoting jaw",3
"Ford Global Technologies, LLC","Arrangements for, or adaptations to, non-automatic engine control initiation means, e.g. operator initiated -characterised by non-mechanical control linkages, e.g. fluid control linkages or by control linkages with power drive or assistance-of the electric type-Detection of demand or actuation",3
"Ford Global Technologies, LLC",Controlling of coolant flow-the coolant being liquid-by thermostatic control-characterised by systems with two or more loops,3
"Ford Global Technologies, LLC",Electrical control of supply of combustible mixture or its constituents -Circuit arrangements for generating control signals-Introducing corrections for particular operating conditions -for engine starting or warming up -for starting -at hot start or restart,3
"Ford Global Technologies, LLC","Purposes of road vehicle drive control systems not related to the control of a particular sub-unit, e.g. of systems using conjoint control of vehicle sub-units ; , or advanced driver assistance systems for ensuring comfort, stability and safety or drive control systems for propelling or retarding the vehicle -Automatic manoeuvring for parking",3
"Fuji Electric Device Technology Co., Ltd.","Details of, or accessories for, apparatus for measuring steady or quasi-steady pressure of a fluent medium insofar as such details or accessories are not special to particular types of pressure gauges-Means for preventing overload or deleterious influence of the measured medium on the measuring device or vice versa-Protection against aggressive medium in general",3
GENTHERM GMBH,Seats specially adapted for vehicles; Arrangement or mounting of seats in vehicles -Heating or ventilating devices-characterised by convection-by air-blown towards the seat surface,3
Hanon Systems,"Heating, cooling or ventilating ; [HVAC];  devices -the heat being derived from the propulsion plant -and from a source other than the propulsion plant-from the cooling liquid of the propulsion plant and from an electric heating device",3
"Honda Motor Co., Ltd.","Heating, cooling or ventilating ; [HVAC];  devices -Control systems or circuits; Control members or indication devices for heating, cooling or ventilating devices -Construction or arrangement of damper doors -Damper doors moved by rotation; Grilles-the axis of rotation being in the door plane, e.g. butterfly doors",3
INTHINC LLC,Navigation; Navigational instruments not provided for in groups G01C1/00 - G01C19/00 -by using measurements of speed or acceleration,3
Johnson Controls Technology Company,Seats specially adapted for vehicles; Arrangement or mounting of seats in vehicles -Heating or ventilating devices-characterised by convection-by air-coming from the passenger compartment,3
KEIHIN CORPORATION,"Heating, cooling or ventilating ; [HVAC];  devices -Control systems or circuits; Control members or indication devices for heating, cooling or ventilating devices -Construction or arrangement of damper doors -Damper doors moved by rotation; Grilles-the axis of rotation being in the door plane, e.g. butterfly doors",3
"Leap Motion, Inc.","Methods or arrangements for reading or recognising printed or written characters or for recognising patterns, e.g. fingerprints -Methods or arrangements for recognition using electronic means -Matching; Proximity measures-Comparing pixel values or logical combinations thereof, or feature values having positional relevance, e.g. template matching",3
MITSUBISHI JIDOSHA KOGYO KABUSHIKI KAISHA,"Arrangements for controlling electric generators for the purpose of obtaining a desired output -Arrangements for obtaining a constant output value at varying speed of the generator, e.g. on vehicle",3
"McAlister Technologies, LLC",Check valves -with flexible valve members-with tongue-shaped laminae,3
Mitsubishi Electric Corporation,"Devices or apparatus for measuring or indicating or recording rapid changes, such as oscillations, in the pressure of steam, gas, or liquid; Indicators for determining work or energy of steam, internal-combustion, or other fluid-pressure engines from the condition of the working fluid-for detecting or indicating knocks in internal-combustion engines; Units comprising pressure-sensitive members combined with ignitors for firing internal-combustion engines-for detecting or indicating knocks in internal combustion engines-circuit arrangements therefor",3
"NGK SPARK PLUG CO., LTD.",Apparatus or processes specially adapted for the manufacture or maintenance of spark gaps or sparking plugs-of sparking plugs,3
"NGK SPARK PLUG CO., LTD.",Sparking plugs-characterised by features of the electrodes or insulation-Selection of materials for electrodes,3
Renesas Technology Corporation,"Arrangements for connecting or disconnecting semiconductor or solid-state bodies; Methods or apparatus related thereto-Means for bonding being attached to, or being formed on, the surface to be connected, e.g. chip-to-package, die-attach, 'first-level' interconnects; Manufacturing methods related thereto-Strap connectors, e.g. copper straps for grounding power devices; Manufacturing methods related thereto-Structure, shape, material or disposition of the strap connectors after the connecting process-of an individual strap connector",3
Robert Bosch GmbH,"Arrangements or fittings on vehicles for protecting or preventing injuries to occupants or pedestrians in case of accidents or other traffic risks -Electrical circuits for triggering ; passive;  safety arrangements, ; e.g. airbags, safety belt tighteners,;  in case of vehicle accidents or impending vehicle accidents -including means for detecting collisions, impending collisions or roll-over-responsive to actual contact with an obstacle ; , e.g. to vehicle deformation, bumper displacement or bumper velocity relative to the vehicle",3
Robert Bosch GmbH,Manufacture or treatment of devices or systems in or on a substrate -for manufacturing microsystems-Processes for packaging MEMS devices -for maintaining a controlled atmosphere inside of the cavity containing the MEMS-maintaining a controlled atmosphere with processes not provided for in B81C1/00285,3
Robert Bosch GmbH,"Measuring the volume flow or mass flow of fluid or fluent solid material wherein the fluid passes through the meter in a continuous flow -by using thermal effects-Structural arrangements; Mounting of elements, e.g. in relation to fluid flow",3
Robert Bosch GmbH,"Other power-operated starting apparatus; Component parts, details, or accessories, not provided for in, or of interest apart from groups F02N5/00 - F02N13/00-Gearing between starting-engines and started engines; Engagement or disengagement thereof-the gearing including disengaging toothed gears-the toothed gears being moved by axial displacement-the starter comprising an electro-magnetically actuated lever",3
SEIKO EPSON CORPORATION,"Devices comprising flexible or deformable elements, e.g. comprising elastic tongues or membranes -Structures acting upon the moving or flexible element for transforming energy into mechanical movement or vice versa, i.e. actuators, sensors, generators-Transducers for transforming electrical into mechanical energy or vice versa",3
STATE FARM MUTUAL AUTOMOBILE INSURANCE COMPANY,"Arrangements or adaptations of signal devices not provided for in one of the preceding main groups, ; e.g. haptic signalling-for anti-collision purposes",3
TOYOTA JIDOSHA KABUSHIKI KAISHA,"Heating, cooling or ventilating ; [HVAC];  devices -Control systems or circuits; Control members or indication devices for heating, cooling or ventilating devices -Control systems or circuits characterised by their input, i.e. by the detection, measurement or calculation of particular conditions, e.g. signal treatment, dynamic models-by detection of the vehicle occupants' presence; by detection of conditions relating to the body of occupants, e.g. using radiant heat detectors",3
Tricore Corporation,Pumps with circumferential or transverse flow -Regenerative pumps,3
WILIC S.AR.L.,"Arrangements for handling mechanical energy structurally associated  with dynamo-electric machines, e.g. structural association with mechanical driving motors or auxiliary dynamo-electric machines-Structural association of electric generators with mechanical driving motors, e.g. with turbines-Rotary generators -structurally associated with turbines or similar engines-wherein the turbine is a wind turbine -Generators mounted in a nacelle or similar structure of a horizontal axis wind turbine",3
WILIC S.AR.L.,"Details of the magnetic circuit -characterised by the shape, form or construction-Rotating parts of the magnetic circuit-Rotor cores with permanent magnets-Inner rotor-where the magnetisation axis of the magnets is radial or tangential-consisting of a plurality of circumferentially positioned magnets-consisting of magnets or groups of magnets arranged with alternating polarity-Magnets embedded in the magnetic core-having a flux concentration effect-consisting of tangentially magnetized radial magnets",3
"ZHEJIANG INNUOVO NEW ENERGY TECHNOLOGY CO., LTD.","Details of electromagnetic relays -Bases; Casings; Covers -Details concerning sealing, e.g. sealing casing with resin",3
"AISIN AW CO., LTD.","Navigation; Navigational instruments not provided for in groups G01C1/00 - G01C19/00 -specially adapted for navigation in a road network-Route searching; Route guidance-Input/output arrangements for on-board computers-Details of the output of route guidance instructions -Guidance using speech or audio output, e.g. text-to-speech",2
AISIN SEIKI KABUSHIKI KAISHA,"Arrangements for adjusting wheel-braking force to meet varying vehicular or ground-surface conditions, e.g. limiting or varying distribution of braking force -responsive to a speed condition, e.g. acceleration or deceleration -having a fluid pressure regulator responsive to a speed condition-connecting the brake actuator to an alternative or additional source of fluid pressure ; , e.g. traction control systems-Traction control, stability control, using both the wheel brakes and other automatic braking systems-in hydraulic brake systems-closed systems -pump-back systems-having priming means",2
AISIN SEIKI KABUSHIKI KAISHA,"Arrangements for handling mechanical energy structurally associated  with dynamo-electric machines, e.g. structural association with mechanical driving motors or auxiliary dynamo-electric machines-Structural association with clutches, brakes, gears, pulleys or mechanical starters-with gears-where at least two gears have non-parallel axes without having orbital motion",2
"ANALOG DEVICES, INC.","Devices consisting of a plurality of semiconductor or other solid-state components formed in or on a common substrate -including semiconductor components specially adapted for rectifying, oscillating, amplifying or switching and having at least one potential-jump barrier or surface barrier; including integrated passive circuit elements with at least one potential-jump barrier or surface barrier-Particular design considerations for integrated circuits-for electrical or thermal protection, e.g. electrostatic discharge [ESD] protection-for MOS devices-using bipolar transistors as protective elements-including a PNP transistor and a NPN transistor, wherein each of said transistors has its base coupled to the collector of the other transistor, e.g. silicon controlled rectifier [SCR] devices",2
APPLE INC.,"Locating users or terminals ; or network equipment;  for network management purposes, e.g. mobility management-with additional information processing, e.g. for direction or speed determination",2
APPLE INC.,Navigation; Navigational instruments not provided for in groups G01C1/00 - G01C19/00 -specially adapted for navigation in a road network-Route searching; Route guidance-Input/output arrangements for on-board computers-Details of the output of route guidance instructions -Guidance using 3D or perspective road maps,2
APPLE INC.,Services specially adapted for wireless communication networks; Facilities therefor-Services making use of location information,2
APPLE INC.,Services specially adapted for wireless communication networks; Facilities therefor-Services making use of location information-Location-based management or tracking services,2
APPLE INC.,"Substation equipment, e.g. for use by subscribers -Mobile telephones; Cordless telephones, i.e. devices for establishing wireless links to base stations without route selection-User interfaces specially adapted for cordless or mobile telephones-with means for local support of applications that increase the functionality-with interactive means for internal management of messages-for text messaging, e.g. SMS or e-mail",2
"APPLERA CORPORATION, APPLIED BIOSYSTEMS GROUP","Optical systems or apparatus not provided for by any of the groups G02B1/00 - G02B26/00, G02B30/00-Beam shaping, e.g. changing the cross-sectional area, not otherwise provided for -Using specific optical elements-Diffractive optical elements, e.g. gratings, holograms",2
"AT&T Intellectual Property I, L.P.","Exhaust or silencing apparatus having means for purifying, rendering innocuous, or otherwise treating exhaust -for cooling, or for removing solid constituents of, exhaust -by means of filters",2
AUTOMOTIVE RESEARCH & TESTING CENTER,Control of temperature -characterised by the use of electric means -using a plurality of sensors -sensing the temperaure in different places in thermal relationship with one or more spaces-to control the temperature of one space,2
AUXITROL S.A.,"Details of, or accessories for, apparatus for measuring steady or quasi-steady pressure of a fluent medium insofar as such details or accessories are not special to particular types of pressure gauges-Means for compensating for effects of changes of temperature ; , i.e. other than electric compensation",2
"Advanced Development and Innovation, S.L.","Apparatus for supplying engines with non-liquid fuels, e.g. gaseous fuels stored in liquid form-for gaseous fuels",2
Advanced Thermal Sciences Corporation,Processes or apparatus adapted for the manufacture or treatment of semiconductor or solid state devices or of parts thereof-Apparatus specially adapted for handling semiconductor or electric solid state devices during manufacture or treatment thereof; Apparatus specially adapted for handling wafers during manufacture or treatment of semiconductor or electric solid state devices or components ; ; Apparatus not specifically provided for elsewhere -Apparatus not specifically provided for elsewhere -Apparatus for manufacture or treatment -Apparatus for thermal treatment-mainly by convection,2
"Allegro MicroSystems, LLC","Arrangements or instruments for measuring magnetic variables-Environmental aspects, e.g. temperature variations, radiation, stray fields -Compensation, e.g. compensating for temperature changes",2
"Allegro MicroSystems, LLC",Measuring linear or angular speed; Measuring differences of linear or angular speeds -Devices characterised by the use of electric or magnetic means -for measuring angular speed -by measuring frequency of generated current or voltage -of pulse signals-delivered by rotating magnets,2
"Applied Materials, Inc.","Chemical coating by decomposition of gaseous compounds, without leaving reaction products of surface material in the coating, i.e. chemical vapour deposition [CVD] processes -characterised by the method of coating -characterised by the method used for introducing gases into reaction chamber or for modifying gas flows in reaction chamber-Pulsed gas flow or change of composition over time-Atomic layer deposition [ALD]-characterized by the apparatus",2
BLOOM ENERGY CORPORATION,"Investigating or analysing materials by the use of electric, electrochemical, or magnetic means -by investigating impedance-by investigating resistance-Investigating the presence of flaws",2
"Beijing Its-Star Technology Co., Ltd.","Estimation or calculation of ; non-directly measurable;  driving parameters for road vehicle drive control systems not related to the control of a particular sub unit, ; e.g. by using mathematical models-related to drivers or passengers-Driving style or behaviour",2
BlackBerry Limited,"Navigation; Navigational instruments not provided for in groups G01C1/00 - G01C19/00 -specially adapted for navigation in a road network-Route searching; Route guidance-Input/output arrangements for on-board computers-Destination input or retrieval-using user history, behaviour, conditions or preferences, e.g. predicted or inferred from previous use or current movement",2
Brunswick Corporation,"Arrangement in connection with fuel supply of combustion engines ; or other fuel consuming energy converters, e.g. fuel cells; Mounting or construction of fuel tanks -Fuel tanks -characterised by venting means-Valve arrangements in the vent line",2
COMMISSARIAT A L'ENERGIE ATOMIQUE ET AUX ENERGIES ALTERNATIVES,"Processes or apparatus adapted for the manufacture or treatment of semiconductor or solid state devices or of parts thereof-Manufacture or treatment of devices consisting of a plurality of solid state components formed in or on a common substrate or of parts thereof; Manufacture of integrated circuit devices or of parts thereof -Manufacture of specific parts of devices defined in group H01L21/70 -Making of isolation regions between components-Dielectric regions ; , e.g. EPIC dielectric isolation, LOCOS; Trench refilling techniques, SOI technology, use of channel stoppers-using semiconductor on insulator [SOI] technology -using bonding techniques-with separation/delamination along an ion implanted layer, e.g. Smart-cut, Unibond",2
"CONNTECHNICAL INDUSTRIES, INC.","Elements with teeth or friction surfaces for conveying motion; Worms, pulleys or sheaves for gearing mechanisms -Friction members-Pulleys",2
"CUMMINS FILTRATION IP, INC.","Exhaust or silencing apparatus having means for purifying, rendering innocuous, or otherwise treating exhaust -for cooling, or for removing solid constituents of, exhaust -by means of filters",2
Calsonic Kansei Corporation,Fluid-circulation arrangements-Expansion means; Dispositions thereof-Expansion valves,2
"Cardiac Pacemakers, Inc.","Measuring for diagnostic purposes ; Identification of persons-Measuring characteristics of blood in vivo, e.g. gas concentration, pH value; ; Measuring characteristics of body fluids or tissues, e.g. interstitial fluid, cerebral tissue-using chemical or electrochemical methods, e.g. by polarographic means -invasive, e.g. introduced into the body by a catheter",2
Caterpillar Inc.,"Controlling engines, dependent on conditions exterior or interior to engines, not otherwise provided for-on interior conditions-by determining the cylinder pressure",2
Caterpillar Inc.,"Fuel-injectors not provided for in groups F02M39/00 - F02M57/00 or F02M67/00-Details not provided for in, or of interest apart from, the apparatus of groups F02M61/02 - F02M61/14-Injection nozzles, e.g. having valve seats; ; Details of valve member seated ends, not otherwise provided for-characterised by the arrangement of discharge orifices, e.g. orientation or size-Discharge orifices being situated in different transversal planes with respect to valve member direction of movement",2
"CertusView Technologies, LLC",2D [Two Dimensional] image generation-Editing figures and text; Combining figures or text,2
Cognex Corporation,Light guides-specially adapted for lighting devices or systems -the lights guides being of the hollow type,2
"Cooligy, Inc.","Details of semiconductor or other solid state devices -Arrangements for cooling, heating, ventilating or temperature compensation ; ; Temperature sensing arrangements -Fillings or auxiliary members in containers ; or encapsulations;  selected or arranged to facilitate heating or cooling-Cooling by change of state, e.g. use of heat pipes",2
"Cree, Inc.",Processes or apparatus adapted for the manufacture or treatment of semiconductor or solid state devices or of parts thereof-Manufacture or treatment of semiconductor devices or of parts thereof-Forming layers -Forming insulating materials on a substrate-characterised by the treatment performed before or after the formation of the layer -post-treatment-treatment by exposure to a gas or vapour,2
Cummins Inc.,"Monitoring or diagnostic devices for exhaust-gas treatment apparatus ; , e.g. for catalytic activity",2
"DELTA ELECTRONICS, INC.",Constructional details common to different types of electric apparatus -Construction of rack or frame,2
"DIRECTV, LLC","Navigation; Navigational instruments not provided for in groups G01C1/00 - G01C19/00 -specially adapted for navigation in a road network-Route searching; Route guidance-specially adapted for specific applications-Dynamic re-routing, e.g. recalculating the route when the user deviates from calculated route or after detecting real-time traffic data or accidents",2
Daimlerchrysler AG,"Heating, cooling or ventilating ; [HVAC];  devices -Control systems or circuits; Control members or indication devices for heating, cooling or ventilating devices -Control systems or circuits characterised by their input, i.e. by the detection, measurement or calculation of particular conditions, e.g. signal treatment, dynamic models-the input being air quality",2
